[0]501 Lionfish 11/Nov/2007     Chapter One     The Worst BirthdayContents   Next Chapter
[1]791    Not for the first time, an argument had broken out over breakfast at number four, Privet Drive
[50]11305    This scar was the only hint of Harry's very mysterious past, of the reason he had been left on the Dursleys'doorstep eleven years before
[51]7607   At the age of one year old, Harry had somehow survived a curse from the greatest Dark sorcerer of all time, Lord Voldemort, whose name most witches and wizards still feared to speak
[52]32380    Harry's parents had died in Voldemort's attack, but Harry had escaped with his lightning scar, and somehow - nobody understood why -Voldemort's powers had been destroyed the instant he had failed to kill Harry
[53]10723   So Harry had been brought up by his dead mother's sister and her husband
[54]1921    He had spent ten years with the Dursleys, never understanding why he kept making odd things happen without meaning to, believing the Dursleys'story that he had got his scar in the car crash that had killed his parents
[55]6868   And then, exactly a year ago, Hogwarts had written to Harry, and the whole story had come out
[56]7821    Harry had taken up his place at wizard school, where he and his scar were famous but now the school year was over, and he was back with the Dursleys for the summer, back to being treated like a dog that had rolled in something smelly
[57]13230   The Dursleys hadn't even remembered that today happened to be Harry's twelfth birthday
[58]10658    Of course, his hopes hadn't been high; they'd never given him a real present, let alone a cake - but to ignore it completelyAt that moment, Uncle Vernon cleared his throat importantly and said, Now, as we all know, today is a very important day
[59]6565   Harry looked up, hardly daring to believe it
[60]5821   This could well be the day I make the biggest deal of my career, said Uncle Vernon
[61]5946   Harry went back to his toast
[62]1227    Of course , he thought bitterly, Uncle Vernon was talking about the stupid dinner party 
[63]802    He'd been talking of nothing else for two weeks
[64]5800    Some rich builder and his wife were coming to dinner and Uncle Vernon was hoping to get a huge order from him (Uncle Vernon's company made drills)
[65]6591   I think we should run through the schedule one more time, said Uncle Vernon
[66]187    We should all be in position at eight o'clock
[67]100    Petunia, you will be -
[68]5497  In the lounge, said Aunt Petunia promptly, waiting to welcome them graciously to our home
[69]686   Good, good
[70]156    And Dudley
[71]1394  I'll be waiting to open the door
[72]281    Dudley put on a foul, simpering smile
[73]376    May I take your coats, Mr
[74]369    and Mrs
[75]10    Mason
[76]587  They'll love him
[77]246   cried Aunt Petunia rapturously
[78]5588   Excellent, Dudley, said Uncle Vernon
[79]5745    Then he rounded on Harry
[80]0    And you
[81]12071  I'll be in my bedroom, making no noise and pretending I'm not there, said Harry tonelessly
[82]5505   Exactly, said Uncle Vernon nastily
[83]137    I will lead them into the lounge, introduce you, Petunia, and pour them drinks
[84]5922    At eight-fifteen-I'll announce dinner, said Aunt Petunia
[85]1814   And, Dudley, you'll say-May I take you through to the dining room, Mrs
[86]10    Mason
[87]5480   said Dudley, offering his fat arm to an invisible woman
[88]306   My perfect little gentleman
[89]211   sniffed Aunt Petunia
[90]0   And you
[91]11134   said Uncle Vernon viciously to Harry
[92]12492   I'll be in my room, making no noise and pretending I'm not there, said Harry dully
[93]9   Precisely
[94]418    Now, we should aim to get in a few good compliments at dinner
[95]107    Petunia, any ideas
[96]558  Vernon tells me you're a wonderful golfer, Mr
[97]738    Mason Do tell me where you bought your dress, Mrs
[98]157    MasonPerfect Dudley
[99]674  How about - 'We had to write an essay about our hero at school, Mr
[100]33    Mason, and I wrote about you 
[101]5937   'This was too much for both Aunt Petunia and Harry
[102]8804    Aunt Petunia burst into tears and hugged her son, while Harry ducked under the table so they wouldn't see him laughing
[103]132   And you, boy
[104]6404  Harry fought to keep his face straight as he emerged
[105]6738   I'll be in my room, making no noise and pretending I'm not there, he said
[106]557   Too right, you will
[107]5411    said Uncle Vernon forcefully
[108]9381    The Masons don't know anything about you and it's going to stay that way
[109]5181    When dinner's over, you take Mrs
[110]771    Mason back to the lounge for coffee, Petunia, and I'll bring the subject around to drills
[111]726    With any luck, I'll have the deal signed and sealed before the news at ten
[112]646    be shopping for a vacation home in Majorca this time to morrow
[113]8307   Harry couldn't feel too excited about this
[114]4998    He didn't think the Dursleys would like him any better in Majorca than they did on Privet Drive
[115]1246   Right - I'm off into town to pick up the dinner jackets for Dudley and me
[116]5769    And you , he snarled at Harry
[117]10046    You stay out of your aunt's way while she's cleaning
[118]6505   Harry left through the back door
[119]191    It was a brilliant, sunny day
[120]500    He crossed the lawn, slumped down on the garden bench, and sang under his breath:Happy birthday to me happy birthday to meNo cards, no presents, and he would be spending the evening pretending not to exist
[121]61    He gazed miserably into the hedge
[122]283    He had never felt so lonely
[123]10639    More than anything else at Hogwarts, more even than playing Quidditch, Harry missed his best friends, Ron Weasley and Hermione Granger
[124]2726    They, however, didn't seem to be missing him at all
[125]14029    Neither of them had written to him all summer, even though Ron had said he was going to ask Harry to come and stay
[126]17197   Countless times, Harry had been on the point of unlocking Hedwig's cage by magic and sending her to Ron and Hermione with a letter, but it wasn't worth the risk
[127]3190    Underage wizards weren't allowed to use magic outside of school
[128]9584    Harry hadn't told the Dursleys this; he knew it was only their terror that he might turn them all into dung beetles that stopped them from locking him in the cupboard under the stairs with his wand and broomstick
[129]7052    For the first couple of weeks back, Harry had enjoyed muttering nonsense words under his breath and watching Dudley tearing out of the room as fast as his fat legs would carry him
[130]14006    But the long silence from Ron and Hermione had made Harry feel so cut off from the magical world that even taunting Dudley had lost its appeal - and now Ron and Hermione had forgotten his birthday
[131]2692   What wouldn't he give now for a message from Hogwarts
[132]231   From any witch or wizard
[133]5134   He'd almost be glad of a sight of his archenemy, Draco Malfoy, just to be sure it hadn't all been a dreamNot that his whole year at Hogwarts had been fun
[134]7788    At the very end of last term, Harry had come face-to-face with none other than Lord Voldemort himself
[135]341    Voldemort might be a ruin of his former self, but he was still terrifying, still cunning, still determined to regain power
[136]25345    Harry had slipped through Voldemort's clutches for a second time, but it had been a narrow escape, and even now, weeks later, Harry kept waking in the night, drenched in cold sweat, wondering where Voldemort was now, remembering his livid face, his wide, mad eyes-Harry suddenly sat bolt upright on the garden bench
[137]386    He had been staring absent-mindedly into the hedge - and the hedge was staring back 
[138]727    Two enormous green eyes had appeared among the leaves
[139]7415   Harry jumped to his feet just as a jeering voice floated across the lawn
[140]1095   I know what day it is, sang Dudley, waddling toward him
[141]587   The huge eyes blinked and vanished
[142]0   What
[143]11452   said Harry, not taking his eyes off the spot where they had been
[144]1804   I know what day it is, Dudley repeated, coming right up to him
[145]10818   Well done, said Harry
[146]905    So you've finally learned the days of the week
[147]4997   Today's your birthday , sneered Dudley
[148]3576    How come you haven't got any cards
[149]3376   Haven't you even got friends at that freak place
[150]11984  Better not let your mum hear you talking about my school, said Harry coolly
[151]213   Dudley hitched up his trousers, which were slipping down his fat bottom
[152]187   Why're you staring at the hedge
[153]5097   he said suspiciously
[154]11802   I'm trying to decide what would be the best spell to set it on fire, said Harry
[155]1216   Dudley stumbled backward at once, a look of panic on his fat face
[156]15621   You c-can't - Dad told you you're not to do m-magic - he said he'll chuck you out of the house - and you haven't got anywhere else to go - you haven't got any friends to take you-Jiggery pokery
[157]11360   said Harry in a fierce voice
[158]5     Hocus pocus - squiggly wiggly - MUUUUUUM
[159]650   howled Dudley, tripping over his feet as he dashed back toward the house
[160]1    MUUUUM
[161]5703   He's doing you know what
[162]6029  Harry paid dearly for his moment of fun
[163]4537    As neither Dudley nor the hedge was in any way hurt, Aunt Petunia knew he hadn't really done magic, but he still had to duck as she aimed a heavy blow at his head with the soapy frying pan
[164]3485    Then she gave him work to do, with the promise he wouldn't eat again until he'd finished
[165]6349   While Dudley lolled around watching and eating ice cream, Harry cleaned the windows, washed the car, mowed the lawn, trimmed the flowerbeds, pruned and watered the roses, and repainted the garden bench
[166]142    The sun blazed overhead, burning the back of his neck
[167]34605    Harry knew he shouldn't have risen to Dudley's bait, but Dudley had said the very thing Harry had been thinking himself maybe he didn't have any friends at HogwartsWish they could see famous Harry Potter now , he thought savagely as he spread manure on the flower beds, his back aching, sweat running down his face
[168]969   It was half past seven in the evening when at last, exhausted, he heard Aunt Petunia calling him
[169]0   Get in here
[170]72   And walk on the newspaper
[171]5941  Harry moved gladly into the shade of the gleaming kitchen
[172]5032    On top of the fridge stood tonight's pudding: a huge mound of whipped cream and sugared violets
[173]13    A loin of roast pork was sizzling in the oven
[174]177   Eat quickly
[175]78   The Masons will be here soon
[176]662   snapped Aunt Petunia, pointing to two slices of bread and a lump of cheese on the kitchen table
[177]138    She was already wearing a salmon-pink cocktail dress
[178]5927   Harry washed his hands and bolted down his pitiful supper
[179]916    The moment he had finished, Aunt Petunia whisked away his plate
[180]42    Upstairs
[181]36   Hurry
[182]7487  As he passed the door to the living room, Harry caught a glimpse of Uncle Vernon and Dudley in bow ties and dinner jackets
[183]7451    He had only just reached the upstairs landing when the door bell rang and Uncle Vernon's furious face appeared at the foot of the stairs
[184]7501   Remember, boy - one sound-Harry crossed to his bedroom on tiptoe slipped inside, closed the door, and turned to collapse on his bed
[185]193    The trouble was, there was already someone sitting on it
[186]59     J
[187]56   K
[188]680    RowlingHarry Potter&The Chamber of Secrets 
[189]0    
[190]0    
[191]0    
[192]11752    Lionfish 11/Nov/2007     Chapter Two     Dobby's WarningContents  Prev Chapter  Next Chapter Harry managed not to shout out, but it was a close thing
[193]2176    The little creature on the bed had large, bat-like ears and bulging green eyes the size of tennis balls
[194]6295    Harry knew instantly that this was what had been watching him out of the garden hedge that morning
[195]11771   As they stared at each other, Harry heard Dudley's voice from the hall
[196]376   May I take your coats, Mr
[197]369    and Mrs
[198]10    Mason
[199]1067  The creature slipped off the bed and bowed so low that the end of its long, thin nose touched the carpet
[200]7634    Harry noticed that it was wearing what looked like an old pillowcase, with rips for arm- and leg-holes
[201]11016   Er - hello, said Harry nervously
[202]6193   Harry Potter
[203]11841   said the creature in a high-pitched voice Harry was sure would carry down the stairs
[204]12569    So long has Dobby wanted to meet you, sir Such an honor it isTh-thank you, said Harry, edging along the wall and sinking into his desk chair, next to Hedwig, who was asleep in her large cage
[205]283    He wanted to ask, What are you
[206]5657   but thought it would sound too rude, so instead he said, Who are you
[207]354  Dobby, sir
[208]1019    Just Dobby
[209]5635    Dobby the house-elf, said the creature
[210]650   Oh - really
[211]10818   said Harry
[212]6985    Er - I don't want to be rude or anything, but - this isn't a great time for me to have a house-elf in my bedroom
[213]809   Aunt Petunias high, false laugh sounded from the living room
[214]622    The elf hung his head
[215]11697   Not that I'm not pleased to meet you, said Harry quickly, but, er, is there any particular reason you're here
[216]6103  Oh, yes, sir, said Dobby earnestly
[217]12632    Dobby has come to tell you, sir it is difficult, sir Dobby wonders where to beginSit down, said Harry politely, pointing at the bed
[218]291   To his horror, the elf burst into tears - very noisy tears
[219]4793   S-sit down
[220]5   he wailed
[221]737     Never  never everHarry thought he heard the voices downstairs falter
[222]3817   I'm sorry, he whispered, I didn't mean to offend you or anything-Offend Dobby
[223]110   choked the elf
[224]7738    Dobby has never been asked to sit down by a wizard - like an equal-Harry, trying to say Shh
[225]3142   and look comforting at the same time, ushered Dobby back onto the bed where he sat hiccoughing, looking like a large and very ugly doll
[226]6801    At last he managed to control himself, and sat with his great eyes fixed on Harry in an expression of watery adoration
[227]13552   You can't have met many decent wizards, said Harry, trying to cheer him up
[228]767   Dobby shook his head
[229]1237    Then, without warning, he leapt up and started banging his head furiously on the window, shouting,  Bad Dobby
[230]303   Bad Dobby
[231]3123  Don't - what are you doing
[232]6577   Harry hissed, springing up and pulling Dobby back onto the bed - Hedwig had woken up with a particularly loud screech and was beating her wings wildly against the bars of her cage
[233]5875   Dobby had to punish himself, sir, said the elf, who had gone slightly cross-eyed
[234]447    Dobby almost spoke ill of his family, sirYour family
[235]2200  The wizard family Dobby serves, sir Dobby is a house-elf - bound to serve one house and one family foreverDo they know you're here
[236]6104   asked Harry curiously
[237]220   Dobby shuddered
[238]975   Oh, no, sir, no Dobby will have to punish himself most grievously for coming to see you, sir
[239]908    Dobby will have to shut his ears in the oven door for this
[240]3594    If they ever knew, sir-But won't they notice if you shut your ears in the oven door
[241]355  Dobby doubts it, sir
[242]465    Dobby is always having to punish himself for something, sir
[243]360    They lets Dobby get on with it, sir
[244]3090    Sometimes they reminds me to do extra punishmentsBut why don't you leave
[245]29   Escape
[246]647  A house-elf must be set free, sir
[247]905    And the family will never set Dobby free Dobby will serve the family until he dies, sirHarry stared
[248]5621   And I thought I had it bad staying here for another four weeks, he said
[249]237    This makes the Dursleys sound almost human
[250]2453    Can't anyone help you
[251]2308   Can't I
[252]8183  Almost at once, Harry wished he hadn't spoken
[253]223    Dobby dissolved again into wails of gratitude
[254]5914   Please, Harry whispered frantically, please be quiet
[255]15282    If the Dursleys hear anything, if they know you're here-Harry Potter asks if he can help Dobby Dobby has heard of your greatness, sir, but of your goodness, Dobby never knewHarry, who was feeling distinctly hot in the face, said, Whatever you've heard about my greatness is a load of rubbish
[256]9218    I'm not even top of my year at Hogwarts; that's Hermione, she-But he stopped quickly, because thinking about Hermione was painful
[257]12718   Harry Potter is humble and modest, said Dobby reverently, his orb-like eyes aglow
[258]6460    Harry Potter speaks not of his triumph over He-Who-Must-Not-Be-Named-Voldemort
[259]10818   said Harry
[260]793   Dobby clapped his hands over his bat ears and moaned, Ah, speak not the name, sir
[261]76   Speak not the name
[262]11068  Sorry, said Harry quickly
[263]4762    I know lots of people don't like it
[264]2183    My friend Ron-He stopped again
[265]2106    Thinking about Ron was painful, too
[266]6537   Dobby leaned toward Harry, his eyes wide as headlights
[267]20424   Dobby heard tell, he said hoarsely, that Harry Potter met the Dark Lord for a second time just weeks ago that Harry Potter escaped yet again 
[268]11388   Harry nodded and Dobby's eyes suddenly shone with tears
[269]940   Ah, sir, he gasped, dabbing his face with a corner of the grubby pillowcase he was wearing
[270]6198    Harry Potter is valiant and bold
[271]5   He has braved so many dangers already
[272]14204   But Dobby has come to protect Harry Potter, to warn him, even if he does have to shut his ears in the oven door later Harry Potter must not go back to Hogwarts 
[273]5798   There was a silence broken only by the chink of knives and forks from downstairs and the distant rumble of Uncle Vernon's voice
[274]18   W-what
[275]5738   Harry stammered
[276]1436    But I've got to go back - term starts on September first
[277]10030    It's all that's keeping me going
[278]9196    You don't know what it's like here
[279]2955    I don't belong here
[280]312    I belong in your world - at Hogwarts
[281]1075   No, no, no, squeaked Dobby, shaking his head so hard his ears flapped
[282]6295    Harry Potter must stay where he is safe
[283]612    He is too great, too good, to lose
[284]6476    If Harry Potter goes back to Hogwarts, he will be in mortal danger
[285]0   Why
[286]10859   said Harry in surprise
[287]6195   There is a plot, Harry Potter
[288]1568    A plot to make most terrible things happen at Hogwarts School of Witchcraft and Wizardry this year, whispered Dobby, suddenly trembling all over
[289]444    Dobby has known it for months, sir
[290]6196    Harry Potter must not put himself in peril
[291]193    He is too important, sir
[292]173  What terrible things
[293]10818   said Harry at once
[294]4755    Who's plotting them
[295]994  Dobby made a funny choking noise and then banged his head frantically against the wall
[296]557   All right
[297]10871   cried Harry, grabbing the elf's arm to stop him
[298]2640    You can't tell me
[299]88    I understand
[300]29    But why are you warning me
[301]451   A sudden, unpleasant thought struck him
[302]3942    Hang on - this hasn't got anything to do with Vol- - sorry - with You-Know-Who, has it
[303]6662   You could just shake or nod, he added hastily as Dobby's head tilted worryingly close to the wall again
[304]893   Slowly, Dobby shook his head
[305]11654   Not - not He-Who-Must-Not-Be-Named , sir-But Dobby's eyes were wide and he seemed to be trying to give Harry a hint
[306]5854    Harry, however, was completely lost
[307]3077   He hasn't got a brother, has he
[308]1256  Dobby shook his head, his eyes wider than ever
[309]14324   Well then, I can't think who else would have a chance of making horrible things happen at Hogwarts, said Harry
[310]10512    I mean, there's Dumbledore, for one thing - you know who Dumbledore is, don't you
[311]714  Dobby bowed his head
[312]1150   Albus Dumbledore is the greatest headmaster Hogwarts has ever had
[313]419    Dobby knows it, sir
[314]6118    Dobby has heard Dumbledore's powers rival those of He-Who-Must-Not-Be-Named at the height of his strength
[315]26637    But, sir - Dobby's voice dropped to an urgent whisper - there are powers Dumbledore doesn't powers no decent wizardAnd before Harry could stop him, Dobby bounded off the bed, seized Harry's desk lamp, and started beating himself around the head with earsplitting yelps
[316]285   A sudden silence fell downstairs
[317]7678    Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, Dudley must have left his television on again, the little tyke
[318]41  Quick
[319]6   In the closet
[320]8314   hissed Harry, stuffing Dobby in, shutting the door, and flinging himself onto the bed just as the door handle turned
[321]190   What - the - devil - are - you - doing
[322]16580   said Uncle Vernon through gritted teeth, his face horribly close to Harry's
[323]3090    You've just ruined the punch line of my Japanese golfer joke One more sound and you'll wish you'd never been born, boy
[324]479  He stomped flat-footed from the room
[325]6365   Shaking, Harry let Dobby out of the closet
[326]5484   See what it's like here
[327]5086   he said
[328]1623    See why I've got to go back to Hogwarts
[329]8321   It's the only place I've got - well, I think I've got friends
[330]9229   Friends who don't even write to Harry Potter
[331]5300   said Dobby slyly
[332]12531   I expect they've just been - wait a minute, said Harry, frowning
[333]3317    How do you know my friends haven't been writing to me
[334]466  Dobby shuffled his feet
[335]8786   Harry Potter mustn't be angry with Dobby
[336]1026    Dobby did it for the best-Have you been stopping my letters
[337]5538   Dobby has them here, sir, said the elf
[338]10978    Stepping nimbly out of Harry's reach, he pulled a thick wad of envelopes from the inside of the pillowcase he was wearing
[339]20696    Harry could make out Hermione's neat writing, Ron's untidy scrawl, and even a scribble that looked as though it was from the Hogwarts gamekeeper, Hagrid
[340]5992   Dobby blinked anxiously up at Harry
[341]24751   Harry Potter mustn't be angry Dobby hoped if Harry Potter thought his friends had forgotten him Harry Potter might not want to go back to school, sirHarry wasn't listening
[342]332    He made a grab for the letters, but Dobby jumped out of reach
[343]6927   Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts
[344]744    Ah, sir, this is a danger you must not face
[345]2857   Say you won't go back, sir
[346]10901  No, said Harry angrily
[347]97    Give me my friends'letters
[348]11647  Then Harry Potter leaves Dobby no choice, said the elf sadly
[349]7006   Before Harry could move, Dobby had darted to the bedroom door, pulled it open, and sprinted down the stairs
[350]6551   Mouth dry, stomach lurching, Harry sprang after him, trying not to make a sound
[351]1181    He jumped the last six steps, landing catlike on the hall carpet, looking around for Dobby
[352]2061    From the dining room he heard Uncle Vernon saying,  tell Petunia that very funny story about those American plumbers, Mr
[353]10    Mason
[354]5464    She's been dying to hearHarry ran up the hall into the kitchen and felt his stomach disappear
[355]5122   Aunt Petunia's masterpiece of a pudding, the mountain of cream and sugared violets, was floating up near the ceiling
[356]347    On top of a cupboard in the corner crouched Dobby
[357]5748   No, croaked Harry
[358]10412    Please they'll kill meHarry Potter must say he's not going back to school-Dobby pleaseSay it, sir-I can't-Dobby gave him a tragic look
[359]11640   Then Dobby must do it, sir, for Harry Potter's own good
[360]567   The pudding fell to the floor with a heart-stopping crash
[361]154    Cream splattered the windows and walls as the dish shattered
[362]1045    With a crack like a whip, Dobby vanished
[363]12294   There were screams from the dining room and Uncle Vernon burst into the kitchen to find Harry, rigid with shock, covered from head to foot in Aunt Petunia's pudding
[364]1183   At first, it looked as though Uncle Vernon would manage to gloss the whole thing over
[365]7703    ("Just our nephew -very disturbed - meeting strangers upsets him, so we kept him upstairs") He shooed the shocked Masons back into the dining room, promised Harry he would flay him to within an inch of his life when the Masons had left, and handed him a mop
[366]6279    Aunt Petunia dug some ice cream out of the freezer and Harry, still shaking, started scrubbing the kitchen clean
[367]3193   Uncle Vernon might still have been able to make his deal - if it hadn't been for the owl
[368]2445   Aunt Petunia was just passing around a box of after-dinner mints when a huge barn owl swooped through the dining room window, dropped a letter on Mrs
[369]5269    Mason's head, and swooped out again
[370]369    Mrs
[371]1089    Mason screamed like a banshee and ran from the house shouting about lunatics
[372]372    Mr
[373]1917    Mason stayed just long enough to tell the Dursleys that his wife was mortally afraid of birds of all shapes and sizes, and to ask whether this was their idea of a joke
[374]6906   Harry stood in the kitchen, clutching the mop for support, as Uncle Vernon advanced on him, a demonic glint in his tiny eyes
[375]128   Read it
[376]231   he hissed evilly, brandishing the letter the owl had delivered
[377]128    Go on - read it
[378]5944  Harry took it
[379]688    It did not contain birthday greetings
[380]462   Dear Mr
[381]1155    Potter,We have received intelligence that a Hover Charm was used at your place of residence this evening at twelve minutes past nine
[382]6659   As you know, underage wizards are not permitted to perform spells outside school, and further spellwork on your part may lead to expulsion from said school
[383]108    (Decree for the Reasonable Restriction of Underage Sorcery, 1875, Paragraph C)
[384]643   We would also ask you to remember that any magical activity that risks notice by members of the non magical community (Muggles) is a serious offense under section 13 of the International Confederation of Warlocks'Statute of Secrecy
[385]45   Enjoy your holidays
[386]1108  Yours sincerely,Mafalda HopkirkIMPROPER USE OF MAGIC OFFICEMinistry of MagicHarry looked up from the letter and gulped
[387]12095   You didn't tell us you weren't allowed to use magic outside school, said Uncle Vernon, a mad gleam dancing in his eyes
[388]7041    Forgot to mention it Slipped your mind, I daresayHe was bearing down on Harry like a great bulldog, all his teeth bared
[389]3602    Well, I've got news for you, boy I'm locking you up You're never going back to that school never and if you try and magic yourself out - they'll expel you
[390]6591  And laughing like a maniac, he dragged Harry back upstairs
[391]482   Uncle Vernon was as bad as his word
[392]10960    The following morning, he paid a man to fit bars on Harry's window
[393]1255    He himself fitted a cat-flap in the bedroom door, so that small amounts of food could be pushed inside three times a day
[394]6367    They let Harry out to use the bathroom morning and evening
[395]520    Otherwise, he was locked in his room around the clock
[396]8909   Three days later, the Dursleys were showing no sign of relenting, and Harry couldn't see any way out of his situation
[397]1224    He lay on his bed watching the sun sinking behind the bars on the window and wondered miserably what was going to happen to him
[398]1222   What was the good of magicking himself out of his room if Hogwarts would expel him for doing it
[399]925   Yet life at Privet Drive had reached an all-time low
[400]3329    Now that the Dursleys knew they weren't going to wake up as fruit bats, he had lost his only weapon
[401]8101    Dobby might have saved Harry from horrible happenings at Hogwarts, but the way things were going, he'd probably starve to death anyway
[402]1094   The cat-flap rattled and Aunt Petunias hand appeared, pushing a bowl of canned soup into the room
[403]6056    Harry, whose insides were aching with hunger, jumped off his bed and seized it
[404]412    The soup was stone-cold, but he drank half of it in one gulp
[405]5430    Then he crossed the room to Hedwig's cage and tipped the soggy vegetables at the bottom of the bowl into her empty food tray
[406]794    She ruffled her feathers and gave him a look of deep disgust
[407]22182   It's no good turning your beak up at it - that's all we've got, said Harry grimly
[408]595   He put the empty bowl back on the floor next to the cat-flap and lay back down on the bed, somehow even hungrier than he had been before the soup
[409]3249   Supposing he was still alive in another four weeks, hat would happen if he didn't turn up at Hogwarts
[410]2922   Would someone be sent to see why he hadn't come back
[411]722   Would they be able to make the Dursleys let him go
[412]794  The room was growing dark
[413]6227    Exhausted, stomach rumbling, mind spinning over the same unanswerable questions, Harry fell into an uneasy sleep
[414]286   He dreamed that he was on show in a zoo, with a card reading UNDERAGE WIZARD attached to his cage
[415]616    People goggled through the bars at him as he lay, starving and weak, on a bed of straw
[416]12907    He saw Dobby's face in the crowd and shouted out, asking for help, but Dobby called, Harry Potter is safe there, sir
[417]58   and vanished
[418]435    Then the Dursleys appeared and Dudley rattled the bars of the cage, laughing at him
[419]6484   Stop it, Harry muttered as the rattling pounded in his sore head
[420]1489    Leave me alone cut it out I'm trying to sleepHe opened his eyes
[421]220    Moonlight was shining through the bars on the window
[422]529    And someone was goggling through the bars at him: a freckle-faced, red-haired, long-nosed someone
[423]13409   Ron Weasley was outside Harry's window
[424]59     J
[425]56   K
[426]680    RowlingHarry Potter&The Chamber of Secrets 
[427]0    
[428]0    
[429]0    
[430]0    
[431]0    
[432]0    
[433]0    
[434]2697    Lionfish 11/Nov/2007     Chapter Three     The BurrowContents  Prev Chapter  Next Chapter  Ron
[435]6081    breathed Harry, creeping to the window and pushing it up so they could talk through the bars
[436]2669    Ron, how did you -
[437]0   What the -
[438]11199  Harry's mouth fell open as the full impact of what he was seeing hit him
[439]2531    Ron was leaning out of the back window of an old turquoise car, which was parked in midair 
[440]13381    Grinning at Harry from the front seats were Fred and George, Ron's elder twin brothers
[441]6289   All right, Harry
[442]734   asked George
[443]5239   What's been going on
[444]7088   said Ron
[445]2486    Why haven't you been answering my letters
